case,karyotype,type,K_beta,tail,Scale_Tail,Shape_Tail,Mean_C1,Mean_C2,Mean_C3,Mean_Tail,N,N_C1,N_C2,N_C3,N_Tail,NLL,pi_C1,pi_C2,pi_C3,pi_Tail,Variance_C1,Variance_C2,Variance_C3,Variance_Tail,AIC,BIC,entropy,ICL,size,reduced.entropy,reICL
./H043-PWC258,1:1,relapse,2,FALSE,NA,NA,0.460561074,0.126227546,NA,NA,12497,9487,3010,NA,0,-8721.833953,0.759150273,0.240849727,NA,0,0.007326841,0.00144,NA,NA,-17427.66791,-17368.20196,154.7361374,-17213.46582,8,154.7361374,-17213.46582
./H043-PWC258,2:1,relapse,1,TRUE,0.064568199,1.715651901,0.343702542,NA,NA,0.154791112,1758,1279,NA,NA,479,-1759.704238,0.700469852,NA,NA,0.299530148,0.003620829,NA,NA,Inf,-3501.408476,-3452.161087,230.7504958,-3221.410592,9,0,-3452.161087
./H043-QHGXQQ,2:2,primary,1,TRUE,0.064350063,2.029741637,0.491706189,NA,NA,0.126841528,4726,3930,NA,NA,796,-5001.6559,0.825978899,NA,NA,0.174021101,0.00364,NA,NA,0.267,-9985.3118,-9927.16429,154.6251876,-9772.539103,9,0,-9927.16429
./H043-QHGXQQ,1:1,relapse,1,TRUE,0.107250106,1.614067639,0.292870163,NA,NA,0.281905306,5206,4564,NA,NA,642,-4982.969108,0.820441488,NA,NA,0.179558512,0.006345235,NA,NA,Inf,-9947.938215,-9888.920112,1560.150838,-8328.769273,9,0,-9888.920112
./H043-W99H5K,2:1,primary,3,FALSE,NA,NA,0.653159736,0.118281012,0.332299162,NA,1563,677,58,828,0,-1140.105493,0.432923054,0.039693943,0.527383002,0,0.0029,0.00326,0.00255,NA,-2258.210987,-2199.313001,31.78080122,-2167.5322,11,31.78080122,-2167.5322
./H043-W99H5K,2:2,primary,2,TRUE,0.05032206,1.29870111,0.24742706,0.501864514,NA,0.218791673,7460,661,6441,NA,358,-8852.877561,0.083002549,0.860047779,NA,0.056949672,0.00178,0.00221,NA,Inf,-17681.75512,-17598.74739,352.6148505,-17246.13254,12,33.70057757,-17565.04682
./H043-W99H5K,1:1,relapse,1,TRUE,0.102375101,1.888097371,0.505547559,NA,NA,0.217649738,141587,106180,NA,NA,35407,-68470.92779,0.727158999,NA,NA,0.272841001,0.0142,NA,NA,Inf,-136923.8556,-136835.1096,24963.86212,-111871.2474,9,0,-136835.1096
./H043-W99H5K,2:1,relapse,1,TRUE,0.102375101,1.990850196,0.399037244,NA,NA,0.205695565,16247,12861,NA,NA,3386,-12427.08545,0.765035191,NA,NA,0.234964809,0.00758,NA,NA,Inf,-24836.17089,-24766.90992,2996.827807,-21770.08211,9,0,-24766.90992
./H043-W99H5K,2:2,relapse,1,TRUE,0.102309265,2.189148,0.325387795,NA,NA,0.188345037,15633,13097,NA,NA,2536,-15618.34788,0.808143785,NA,NA,0.191856215,0.00518,NA,NA,0.0857,-31218.69575,-31149.7815,3133.396497,-28016.385,9,0,-31149.7815
./H043-XACH,1:1,primary,2,TRUE,0.050128104,1.807707408,0.484724463,0.196231062,NA,0.112190311,7807,6311,427,NA,1069,-8850.323559,0.804448286,0.048307327,NA,0.147244386,0.00237,0.00295,NA,Inf,-17676.64712,-17593.09381,592.642785,-17000.45102,12,33.73313999,-17559.36067
./H043-XACH,2:1,primary,1,TRUE,0.050062577,1.398515727,0.328170435,NA,NA,0.175685166,1139,926,NA,NA,213,-1642.665329,0.800046009,NA,NA,0.199953991,0.00120756,NA,NA,Inf,-3267.330657,-3221.989504,76.00416893,-3145.985335,9,0,-3221.989504
./H043-XACH,2:1,relapse,2,TRUE,0.050180649,1.284916289,0.312126401,0.667454049,NA,0.226304835,6477,3031,2468,NA,978,-3896.789938,0.450872669,0.377069642,NA,0.172057688,0.00305,0.0024,NA,Inf,-7769.579876,-7688.267723,737.3143527,-6950.95337,12,7.120889032,-7681.146834
./H043-XACH,2:2,relapse,2,TRUE,0.050062577,1.813316704,0.503371996,0.191227081,NA,0.111616185,6468,4257,1338,NA,873,-6372.437524,0.654405089,0.189102527,NA,0.156492384,0.0018,0.00325,NA,Inf,-12720.87505,-12639.57958,853.5249106,-11786.05467,12,27.46919218,-12612.11039
./H043-XG4KY2,1:1,primary,1,TRUE,0.056306305,1.340293827,0.51172660699999994,NA,NA,0.221770092,6958,6500,NA,NA,458,-8632.266008,0.93018511,NA,NA,0.06981489,0.00307,NA,NA,Inf,-17246.53202,-17184.90319,168.7898888,-17016.1133,9,0,-17184.90319
./H043-XG4KY2,2:1,primary,3,TRUE,0.056390976,1.882244117,0.357316714,0.705754134,0.494824178,0.120308633,1049,941,39,6,63,-1406.446454,0.889108463,0.033581115,0.018510617,0.058799805,0.001816238,0.00176,0.0664,Inf,-2782.892908,-2708.559019,84.89617062,-2623.662848,15,48.29752619,-2660.261493
./H043-XG4KY2,1:1,relapse,1,TRUE,0.090090089,1.486303932,0.535258645,NA,NA,0.275344789,253969,187282,NA,NA,66687,-40671.22019,0.732317739,NA,NA,0.267682261,0.049322871,NA,NA,Inf,-81324.44037,-81230.43567,84356.98701,3126.551347,9,0,-81230.43567
./H043-XG4KY2,2:1,relapse,1,TRUE,0.090090089,1.980620656,0.411660135,NA,NA,0.181960568,28322,19368,NA,NA,8954,-16470.60063,0.660828035,NA,NA,0.339171965,0.016632163,NA,NA,Inf,-32923.20125,-32848.93871,7402.648222,-25446.29049,9,0,-32848.93871
./H043-ZMHY,1:1,primary,1,TRUE,0.070382882,2.898091032,0.492620924,NA,NA,0.10746376,5556,4297,NA,NA,1259,-5537.896174,0.770439379,NA,NA,0.229560621,0.00471,NA,NA,0.00444,-11057.79235,-10998.18865,112.9082276,-10885.28042,9,0,-10998.18865
./H043-ZMHY,1:1,relapse,1,TRUE,0.075075074,3.044138173,0.491999612,NA,NA,0.11180208,6227,4698,NA,NA,1529,-6311.628044,0.751428635,NA,NA,0.248571365,0.004501818,NA,NA,0.00393,-12605.25609,-12544.62624,130.6486331,-12413.97761,9,0,-12544.62624
